locatii,Afânata
,Izvorașu
,Izvoru
,Izvoru Rece
,Izvoru Rece
,Jaroștea
,Laloșu
,Lespezi
,Linia
,Linia
,Linia Dealului
,Linia Hanului
,Linia pe Vale
,Livezi
,Lunca
,Lungești
,Lupoaia
,Lupuiești
,Lăcusteni
,Lăcustenii de Jos
,Lăcustenii de Sus
,Lădești
,Lăunele de Jos
,Malaia
,Malu
,Malu Alb
,Malu Vârtop
,Mamu
,Marcea
,Marița
,Mateești
,Mecea
,Meieni
,Mereșești
,Mierea
,Mihăești
,Mijați
,Mijlocu
,Milcoiu
,Milești
,Milostea
,Mirești
,Mitrofani
,Mlăceni
,Modoia
,Mogești
,Mogoșești
,Mologești
,Moșteni
,Mrenești
,Muereasca
,Muereasca de Sus
,Munteni
,Mângureni
,Măciuceni
,Mădulari
,Mădulari
,Măgura
,Măgureni
,Măldărești
,Măldărești
,Măldărești
,Măldăreștii de Jos
,Măneasa
,Mănicea
,Mănăilești
,Mărcușu
,Mărgineni
,Măricești
,Măzili
,Măzăraru
,Neghinești
,Negraia
,Negreni
,Negrulești
,Nemoiu
,Nenciulești
,Nețești
,Nicolești
,Nisipi
,Obislavu
,Obogeni
,Obrocești
,Obârșia
,Ocnele Mari
,Ocracu
,Olanu
,Olteanca
,Olteanca
,Olteni
,Oltețani
,Oltețu
,Opătești
,Orlești
,Ostroveni
,Otetelișu
,Oteșani
,Oveselu
,Padina
,Palanga
,Perișani
,Pertești
,Pesceana
,Pietrari
,Pietrari
,Pietrarii de Sus
,Pietreni
,Pietroasa
,Piscu Mare
,Piscu Pietrei
,Piscu Scoarței
,Pleașa
,Pleșești
,Pleșoiu
,Pleșoiu
,Podeni
,Poenița
,Poiana
,Poienari
,Pojogi-Cerna
,Popești
,Popești
,Popești
,Popești
,Popești
,Popești
,Popești
,Popești
,Popești
,Portărești
,Predești
,Preoțești
,Priloage
,Pripoara
,Pripoare
,Priporu
,Procopoaia
,Prodănești
,Proieni
,Prundeni
,Pârâienii de Jos
,Pârâienii de Mijloc
,Pârâienii de Sus
,Pădurețu
,Părăușani
,Păscoaia
,Păsculești
,Păsărei
,Pătești
,Păușești
,Păușești-Măglași
,Păușești-Otăsău
,Racovița
,Racovița
,Racu
,Robaia
,Robești
,Roești
,Roești
,Romanești
,Romanii de Jos
,Romanii de Sus
,Români
,Rotărăști
,Roșia
,Roșiile
,Roșoveni
,Ruda
,Rugetu
,Rugetu
,Runcu
,Rusănești
,Râmești
,Râmești
,Râmnicu Vâlcea
,Râpa Cărămizii
,Râpănești
,Râu Vadului
,Rădăcinești
,Rățălești
,Saioci
,Satu Poieni
,Scaioși
,Schitu
,Scorușu
,Scundu
,Scărișoara
,Scăueni
,Seaca
,Seciu
,Silea
,Sinești
,Slătioara
,Slăvitești
,Snamăna
,Spinu
,Spârleni
,Stanomiru
,Stoenești
,Stoenești
,Stoiculești
,Stoicănești
,Stoilești
,Streminoasa
,Stroești
,Străchinești
,Stupărei
,Stănculești
,Stănești
,Stănești
,Stănești-Lunca
,Sub Deal
,Suiești
,Surdoiu
,Surpatele
,Surpați
,Suseni
,Sutești
,Sânbotin
,Sârbi
,Săliștea
,Săliștea
,Sălătrucel
,Sărsănești
,Sărulești
,Sășcioara
,Tanislavi
,Teiu
,Teiul
,Teiușu
,Telechești
,Tepșenari
,Tetoiu
,Tighina
,Tina
,Titești
,Titireci
,Tomșani
,Trundin
,Tufanii
,Tulei-Câmpeni
,Turburea
,Turcești
,Tuțulești
,Tănăsești
,Tătărani
,Udrești
,Ulmetu
,Ulmețel
,Ursoaia
,Urzica
,Urșani
,Urși
,Urși
,Ușurei
,Vaideeni
,Valea Alunișului
,Valea Babei
,Valea Bălcească
,Valea Caselor
,Valea Cheii
,Valea Grădiștei
,Valea Lungă
,Valea Mare
,Valea Mare
,Valea Măceșului
,Valea Râului
,Valea Scheiului
,Valea Ursului
,Valea Viei
,Valea Văleni
,Valea lui Stan
,Verdea
,Vețelu
,Viișoara
,Vlădești
,Vlăduceni
,Vlădulești
,Voicești
,Voiceștii din Vale
,Voiculeasa
,Voineasa
,Voineșița
,Vulpuești
,Vârleni
,Văleni
,Văleni
,Vărateci
,Văratica
,Văratici
,Vătășești
,Zgubea
,Zmeurătu
,Zărnești
,Zătreni
,Zătrenii de Sus
,Zăvideni
,Zăvoieni
,Șerbăneasa
,Șerbănești
,Șerbănești
,Șerbănești
,Șerbănești
,Șirineasa
,Șolicești
,Șotani
,Ștefănești
,Ștefănești
,Știrbești
,Șuricaru
,Șuta
,Șușani
,Țepești
,Țuțuru
,


v • d • mListe de localități din România grupate pe județe








Alba ·
Arad ·
Argeș ·
Bacău ·
Bihor ·
Bistrița-Năsăud ·
Botoșani ·
Brașov ·
Brăila ·
Buzău ·
Caraș-Severin ·
Călărași ·
Cluj ·
Constanța ·
Covasna ·
Dâmbovița ·
Dolj ·
Galați ·
Giurgiu ·
Gorj ·
Harghita ·
Hunedoara ·
Ialomița ·
Iași ·
Ilfov ·
Maramureș ·
Mehedinți ·
Mureș ·
Neamț ·
Olt ·
Prahova ·
Satu Mare ·
Sălaj ·
Sibiu ·
Suceava ·
Teleorman ·
Timiș ·
Tulcea ·
Vaslui ·
Vâlcea ·
Vrancea





AB
AR
AG
BC
BH
BN
BT
BV
BR
BZ
CS
CL
CJ
CT
CV
DB
DJ
GL
GR
GJ
HR
HD
IL
IS
IF
MM
MH
MS
NT
OT
PH
SM
SJ
SB
SV
TR
TM
TL
VS
VL
VN
B









Vezi și: Lista orașelor din România · Liste de comune din România grupate pe județe

,

AB
AR
AG
BC
BH
BN
BT
BV
BR
BZ
CS
CL
CJ
CT
CV
DB
DJ
GL
GR
GJ
HR
HD
IL
IS
IF
MM
MH
MS
NT
OT
PH
SM
SJ
SB
SV
TR
TM
TL
VS
VL
VN
B




